day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
6,22:30,4,1.05E-08,0.9810650654,1606,,,,,,,,,
6,22:45,2,-6.40E-08,0.9854362923,1637,,,,,,,,,
6,23:00,2,2.12E-08,0.9622418431,1637,,,,,,,,,
6,23:00,4,7.74E-08,0.8331719954,1611,,,,,,,,,
7,0:00,2,8.93E-09,0.0179571418,1784,,,,,,,,,
7,0:00,4,8.91E-09,0.01837016672,1761,,,,,,,,,
7,9:00,2,2.47E-08,0.9530355434,1903,,,,,,,,,
7,9:00,4,1.33E-07,0.7378629551,1882,,,,,,,,,
7,9:30,2,1.02E-07,0.7950761725,1903,,,,,,,,,
7,9:30,4,3.17E-07,0.2303359503,1882,,,,,,,,,
7,10:00,2,4.82E-08,0.8481054661,1957,,,,,,,,,
7,10:00,4,2.76E-07,0.3633001271,1936,,,,,,,,,
7,10:30,2,1.60E-07,0.6569914865,1957,,,,,,,,,
7,10:30,4,3.30E-07,0.1861614298,1936,,,,,,,,,
7,11:00,2,2.20E-07,-0.08396638438,1957,,,,,,,,,
7,11:00,4,3.77E-07,-0.0219736866,1928,,,,,,,,,
7,11:30,2,3.85E-07,0.1215098059,1970,,,,,,,,,
7,11:30,4,1.67E-07,-0.1095385426,1949,,,,,,,,,
7,12:00,2,2.81E-07,0.4040418368,1970,,,,,,,,,
7,12:00,4,3.64E-07,-0.0298348839,1949,,,,,,,,,
7,12:30,2,4.34E-07,0.001750608286,1970,,,,,,,,,
7,12:30,4,3.77E-07,0.0682062406,1949,,,,,,,,,
7,13:00,2,1.87E-07,0.5932146178,1970,,,,,,,,,
7,13:00,4,4.31E-07,-0.01987971697,1949,,,,,,,,,
7,13:30,2,1.56E-07,0.6699931616,1970,,,,,,,,,
7,13:30,4,3.10E-07,-0.1926890816,1949,,,,,,,,,
7,14:00,2,1.65E-07,0.1600785569,1970,,,,,,,,,
7,14:00,4,3.17E-07,0.287716551,1949,,,,,,,,,
7,14:30,2,1.29E-07,0.7183083602,1970,,,,,,,,,
7,14:30,4,1.96E-07,0.5658849578,1949,,,,,,,,,
7,15:00,2,2.58E-08,0.9145071437,1970,,,,,,,,,
7,15:00,4,1.47E-07,0.6665033677,1949,,,,,,,,,
7,15:30,2,2.28E-08,0.9184916586,1970,,,,,,,,,
7,15:30,4,2.45E-07,0.5049001517,1949,,,,,,,,,
7,16:00,2,4.07E-09,0.05442995279,893,,,,,,,,,
7,16:00,4,1.77E-08,0.01073387708,893,,,,,,,,,
7,16:30,2,0,1,54,,,,,,,,,
7,16:30,4,6.88E-08,0.8767363384,54,,,,,,,,,
7,17:00,2,5.80E-08,0.8393320935,1987,,,,,,,,,
7,17:00,4,1.45E-07,0.6553651554,1958,,,,,,,,,
7,17:30,2,6.89E-08,0.8393584856,1933,,,,,,,,,
7,17:30,4,2.15E-07,0.5350782797,1912,,,,,,,,,
7,18:00,2,1.55E-07,0.6254444779,1987,,,,,,,,,
7,18:00,4,3.35E-07,0.2400801228,1966,,,,,,,,,
7,18:30,2,1.25E-08,0.004305280624,1775,,,,,,,,,
7,18:30,4,3.42E-09,-0.001825004608,1756,,,,,,,,,
7,19:00,2,4.41E-08,0.03276187544,1973,,,,,,,,,
7,19:00,4,2.99E-07,-0.1082242734,1952,,,,,,,,,
7,19:30,2,2.85E-07,0.2010427188,1987,,,,,,,,,
7,19:30,4,3.54E-07,0.09149763934,1966,,,,,,,,,
7,20:00,2,1.57E-07,0.5488044602,1987,,,,,,,,,
7,20:00,4,3.06E-07,0.08178589768,1966,,,,,,,,,
7,20:30,2,2.86E-07,0.07358005224,1987,,,,,,,,,
7,20:30,4,-5.53E-09,0.009906896052,1966,,,,,,,,,
7,21:00,2,4.54E-08,0.8663548288,1987,,,,,,,,,
7,21:00,4,1.54E-07,0.5591353173,1966,,,,,,,,,
7,21:30,2,7.03E-08,0.8345114125,1987,,,,,,,,,
7,21:30,4,3.20E-07,0.1048449765,1966,,,,,,,,,
7,22:00,2,8.08E-09,0.9781156695,1988,,,,,,,,,
7,22:00,4,-9.64E-09,0.9854228246,1966,,,,,,,,,
7,22:30,2,2.03E-09,0.9932577403,1988,,,,,,,,,
7,22:30,4,-9.64E-09,0.985440174,1966,,,,,,,,,
